#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
What’s&nbsp;Zollinger-Ellison&nbsp;syndrome?	"<div>&nbsp;gastrin-secreting tumor → USMLE likes “recurrent” duodenal
ulcers, or the presence of any single jejunal or ileal ulcer → frequently seen as part of MEN1 (pancreas, pituitary, parathyroid).</div>"	
Dx of ZES?&nbsp;	"<div>check serum gastrin levels; if USMLE mentions
secretin-stimulation test, it’s only because
they’ll say in the vignette
that “gastrin is not suppressed with secretin stimulation” as a way to tell you the Dx is ZES → secretin should normally lower gastrin levels, but they
remain elevated in ZES.</div>"	
Tx&nbsp;of&nbsp;ZES?	<div>→ PPIs, but definitive is surgical resection of tumor.</div>	
What is Menetrier disease?	"<div>→ don’t confuse with Meniere disease; Menetrier is atrophy of
parietal cells (causing achlorhydria)
and hypertrophy of foveolar cells (surface mucous cells) to the extent that the inner lining of stomach resembles
brain gyri; can be caused by CMV infection; Meniere disease, in contrast, is a tinnitus/vertigo syndrome
caused by defective endolymphatic drainage from the inner ear.<br></div>"	
Types of stomach cancer (apart from MALT lymphoma)	"<div>&nbsp;intestinal vs diffuse type; USMLE doesn’t ask about intestinal (it’s characterized
by irregular tubular histology); diffuse = linitis plastica, which is “leather bottle” appearance of the
stomach → cells contain mucin and are called signet ring cells → often associated with Virchow node (pronounced
ver-cough), which is a palpable left supraclavicular lymph node → this positive
node is called Troisier sign of malignancy → if gastric
cancer metastasizes hematogenously to ovaries, the mets are
called Krukenberg tumors → biopsy shows signet ring cells containing mucin; you’ll know it’s not mucinous
cystadenocarcinoma (MC) of ovary because 1, MC
isn’t the bilateral type (serous cystadenocarcinoma is), 2, MC is
associated with pseudomyxoma peritonei
(peritoneal infiltration by mucous from tumor), and 3, MC has a “locular,” or
“loculated” appearance.</div>"	
High ALP + high&nbsp;direct bilirubin + high amylase or lipase&nbsp;	"<div>gallstone pancreatitis =
choledocholithiasis.</div>"	
High ALP + high direct bilirubin + high amylase or lipase + remote Hx of cholecystectomy	"<div>&nbsp;→ sphincter of Oddi dysfunction (can’t
be a stone cuz the gallbladder was removed ages ago).</div>"	
&nbsp;&nbsp;High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;in&nbsp;someone&nbsp;with&nbsp;recent&nbsp;cholecystectomy	"<div>→ choledocholithiasis (retained stone in
cystic duct that descended, but not distal to pancreatic duct entry
point).<br></div>"	
Dx and Tx of choledocholithiasis&nbsp;	<div>→ ERCP.</div>	
&nbsp;High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;in&nbsp;someone&nbsp;with&nbsp;remote&nbsp;cholecystectomy	"<div>→ pancreatic
cancer.<br></div>"	
Dx&nbsp;of&nbsp;pancreatic&nbsp;cancer&nbsp;	<div>→ CT abdo with contrast.</div>	
&nbsp;Dx&nbsp;of&nbsp;pancreatic&nbsp;cancer&nbsp;	<div><div>→ CT abdo with contrast.</div></div>	
<div>High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;in&nbsp;someone&nbsp;with&nbsp;remote&nbsp;cholecystectomy +&nbsp;CT&nbsp;is negative&nbsp;</div>	<div>&nbsp;cholangiocarcinoma.<br></div>	
High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;+&nbsp;diffuse&nbsp;pruritis&nbsp;+&nbsp;high&nbsp;cholesterol&nbsp;	<div>primary biliary cirrhosis (PBC).<br></div>	
High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;+&nbsp;autoimmune&nbsp;disease&nbsp;(in&nbsp;pt&nbsp;or&nbsp;family)&nbsp;→	<div>PBC.<br></div>	
Dx of&nbsp;PBC&nbsp;	"<div>→ anti-mitochondrial Abx next best step; liver
biopsy is confirmatory.</div>"	
<div>Recent&nbsp;cholecystectomy&nbsp;+&nbsp;fever&nbsp;+&nbsp;abdo&nbsp;pain<br></div>	<div>&nbsp;→ post-op bile leak.<br></div>	
High&nbsp;ALP&nbsp;+&nbsp;high&nbsp;direct&nbsp;bilirubin&nbsp;+&nbsp;normal&nbsp;amylase&nbsp;or&nbsp;lipase&nbsp;+&nbsp;CT&nbsp;shows&nbsp;cystic&nbsp;lesion&nbsp;in&nbsp;bile&nbsp;duct&nbsp;	<div>choledochal cyst → do simple excision of cyst (cholangiocarcinoma not cystic + CT can be negative).<br></div>	
&nbsp;Imaging&nbsp;to&nbsp;view&nbsp;liver&nbsp;or&nbsp;pancreas&nbsp;→	<div>&nbsp;CT with contrast.</div>	
Imaging to&nbsp;view&nbsp;gallbladder&nbsp;	<div>→ abdominal ultrasound.</div>	
&nbsp;Imaging to&nbsp;view gallbladder&nbsp;in&nbsp;suspected cholecystitis only if&nbsp;USS negative&nbsp;→	<div>HIDA scan.</div>	
Imaging&nbsp;to&nbsp;view&nbsp;bile&nbsp;ducts&nbsp;	"<div>&nbsp;→ ERCP or MRCP (choose
ERCP &gt; MRCP if both listed).</div>"	
22M + stressed studying for exams + yellow eyes + has had a few similar episodes in the past + is&nbsp;otherwise&nbsp;healthy;&nbsp;Dx?&nbsp;	"<div>&nbsp;Gilbert
syndrome (proncouned jeel-BEAR).</div>"	
&nbsp;Mechanism for Gilbert?	"<div>→ decreased expression of glucuronosyltransferase (bilirubin
conjugating enzyme) in the liver → decreased ability
to take up unconjugated bilirubin
at the liver → jaundice.</div>"	
Tx&nbsp;for&nbsp;Gilbert?&nbsp;	<div>→ reassurance; benign condition.</div>	
&nbsp;Criteria&nbsp;for&nbsp;pathologic&nbsp;jaundice?&nbsp;	"<div>→ student says “I really
need to know that?” Absolutely. HY on peds shelves
and 2CK. If any one or more of the following is positive, the etiology of the
kid’s jaundice is considered pathologic:</div>
<div><ul><li>Any jaundice present
in first 24 hours of life, period.</li><li>Any jaundice present
after one week if term or two weeks if preterm.<br></li><li>Total bilirubin &gt;15 mg/dL.<br></li><li>Direct bilirubin &gt;10%
of total bilirubin, <i>even if total is under 15 mg/dL.</i><br></li><li>&nbsp;(The one everyone
forgets) Rate of change of increase of total bilirubin
&gt;0.5 mg/dL/hour.<br></li></ul></div>







"	
How do those pathologic jaundice guidelines relate to actual USMLE Qs though?&nbsp;	"<div>&nbsp;if
pathologic, USMLE wants phototherapy
as the Tx; if that’s insufficient, do exchange transfusion → in addition, even
in adults, if you see a Q where someone’s direct bilirubin is &gt;10% of total,
that’ll be a huge clue to you that an obstructive pathology is present.</div>"	
What are normal bilirubin levels?	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
&nbsp;0.1 mg/dL direct; 1.0 mg/dL total&nbsp;</div>"	
8-day-old neonate + jaundice + direct bilirubin 14 mg/dL + total bilirubin 15 mg/dL; Dx?&nbsp;	"<div>&nbsp;biliary atresia
→ super HY Dx.<br></div>"	
8-day-old neonate + jaundice + direct bilirubin 14 mg/dL + total bilirubin 15 mg/dL; next best step in&nbsp;diagnosis?	"<div>straight-up liver
biopsy → if
positive, must do liver transplant.</div>"	
8-day&nbsp;old&nbsp;neonate&nbsp;+&nbsp;jaundice&nbsp;+&nbsp;direct&nbsp;bilirubin&nbsp;1&nbsp;mg/dL&nbsp;+&nbsp;total&nbsp;bilirubin&nbsp;20&nbsp;mg/dL;&nbsp;Dx?&nbsp;	<div>&nbsp;Crigler- Najjar syndrome.</div>	
Mechanism&nbsp;of&nbsp;Crigler-Najjar?	<div>&nbsp;absence (type I) or deficiency (type II) of glucuronyosltransferase.</div>	
Tx of Crigler-Najjar?	"<div>→ phenobarbital is helpful in type II (why the USMLE occasionally asks this I don’t know why); Type I does not respond to
phenobarbital; plasmapheresis + phototherapy are temporizing measures; liver
transplant is curative.</div>"	
What&nbsp;are&nbsp;Dubin-Johnson&nbsp;vs&nbsp;Rotor&nbsp;syndrome?&nbsp;	"→&nbsp;high direct bilirubin due to
decreased ability to secrete it into bile → DJ has black liver;
Rotor does not."	
Over-arching&nbsp;HY&nbsp;point&nbsp;about&nbsp;hepatitis&nbsp;infections&nbsp;for&nbsp;USMLE	"<div>→ <span style=""color: rgb(0, 255, 0);"">they want you to know that hepatocellular damage
is due to “cytotoxic T lymphocytes,”</span><span style=""color: rgb(255, 0, 127);""> not “viral
cytopathic effects.”</span></div>"	
&nbsp;Hepatitis A HY points&nbsp;	"<div>→ fecal-oral; acute; shortest incubation period (2-6 weeks);
vignette will mention person getting acute hepatitis in US or Mexico → can be asymptomatic, but jaundice, fever,
anorexia common; self-limiting → there’s a Q
on one of the 2CK NBMEs where a patient gets HepA followed by all cell lines (RBCs, WBCs, platelets) down, and the
diagnosis was simply viral-induced aplastic
anemia, but this was slightly unusual as we classically associate Parvo B19
with viral-induced aplastic anemia.</div>"	
Hepatitis B HY points&nbsp;	"<div>→ parenteral transmission; in all body fluids and can be
transmitted through breastmilk, sex,
and IV drug use → most common transmission is vertical at birth (through
birth canal); vignettes associate
HepB with China; 30% of patients with polyarteritis nodosa are HepB seropositive; HepB can also cause
membranous glomerulonephritis; at birth, give HepB vaccine, followed by a second dose at 2 months, and
a third dose at 6 months (apparently some vaccine schedules are saying it’s no longer given at 4 months); if mom
is positive for HepB, give neonate immunoglobulin
+ vaccine; if mom’s status is unknown, give neonate vaccine + only give immunoglobulin if mom’s results
come back positive;
liver shows ground-glass appearance on biopsy</div>
<div>→ I believe a
UWSA2 question for Step 1 gave an IV drug user + they showed a liver with a
ground- glass appearance, and the
answer was HepB; everyone selects HepC because they say, “oh wow IV drug user,” but it was HepB; HepC has a
nodular appearance of the liver; both HepB and C and cause hepatocellular carcinoma; USMLE is obsessed with HepB serology:</div>"	
hepatitis B serology	"<img src=""paste-de9a86ab78a35ffbc24d7ca40649914ff9bab0c0.jpg"">"	
&nbsp;USMLE wants you to know HepB is	"<div>-“DNA, enveloped, circular” and has a polymerase enzyme with dual function: <b>DNA-dependent DNA polymerase </b>+ RNA-dependent DNA polymerase
(reverse transcriptase).</div>"	
Tx&nbsp;for&nbsp;HepB?	"<div>→ a variety
of meds; the USMLE isn’t really fussed
and won’t ask you; this is more Qbank
where they may show up; but some drugs are <b>interferon-alpha,
</b>entecavir, tenofovir, telbivudine, and lamivudine.</div>"	
If you get a Q where they tell you someone was vaccinated for HepB but their surface Ab is still&nbsp;negative, the next best step in Mx	"<div>&nbsp;give
HepB vaccination; some patients don’t seroconvert immediately, or their
surface antibody titer
wanes.</div>"	
<div>&nbsp;HepC important info<br></div>	"<div>
<div>&nbsp;→ longest incubation period (2-26 weeks); can become chronic;
parenteral transmission; transmitted
by blood only; <b>not sexually transmitted </b>(if
you spend an hour and do a comprehensive literature review yourself, you’ll
learn that the transmission rate among heterosexual couples
where one partner is infected is exceedingly low, i.e., on the order of 1 in
190,000 sexual contacts); if
transmission occurs sexually, it is due to blood exposure; HepB, for instance,
is in sexual secretions; HepC is not.</div></div>"	
&nbsp;Appearance&nbsp;of&nbsp;liver&nbsp;in&nbsp;HepC &amp;HepB?	<div>&nbsp;HepC→ nodular; in contrast, HepB → ground-glass.</div>	
Dx&nbsp;of&nbsp;HepC&nbsp;	<div>&nbsp;→ ELISA + serum HCV RNA levels.</div>	
<div>Tx&nbsp;of&nbsp;HepC&nbsp;<br></div>	"<div>→ USMLE likely won’t ask you; but <b>pegylated-interferon-alpha </b>has
the greatest chance of showing
up on the exam; other
drugs are daclatasvir and sofosbuvir.<br></div>"	
HepD important points&nbsp;	"<div>→ called a “subviral satellite” because it depends on HepB to
cause infection (i.e., without HepB,
HepD exposure won’t cause infection) → what’s the
best way to prevent it? → answer = simply vaccinate against HepB → three types of HepB proteins
form an envelope
around the HepD ssRNA → infection
with HepD can occur in someone with preexisting HepB infection (superinfection) or at the same time as
HepB infection (coinfection); coinfection with HepB+D carries the highest mortality rate of any of the hepatitis viruses
(~20%).</div>"	
HepE&nbsp;important&nbsp;points&nbsp;	"<div>→ fecal-oral transmission (enteral); acute disease
only; classically when someone travels
to India or Tibet → <b>high mortality in pregnant women is highest
yield point.</b></div>"	
Patient&nbsp;takes&nbsp;Abx&nbsp;for&nbsp;several&nbsp;days&nbsp;+&nbsp;has&nbsp;watery&nbsp;diarrhea;&nbsp;Dx?	<div>→ C. difficile (pseudomembranous colitis).</div>	
Patient&nbsp;takes&nbsp;Abx&nbsp;for&nbsp;several&nbsp;days&nbsp;+&nbsp;has&nbsp;crampy&nbsp;LLQ&nbsp;pain&nbsp;+&nbsp;bloody&nbsp;diarrhea;&nbsp;Dx?	"<div>→ C. difficile → this is on a 2CK NBME → Yersinia enterocolitica was also listed and was wrong; this
is a good distractor because Y.
enterocolitica causes pseudoappendicitis due to ileitis / mesenteric adenitis,
but is RLQ pain, not LLQ.</div>"	
Which&nbsp;Abx&nbsp;cause&nbsp;C.&nbsp;diff&nbsp;overgrowth?&nbsp;	"<div>→ clindamycin, cephalosporins, ampicillin are highest
yield.</div>"	
Mechanism for C. diff infection&nbsp;	"<div>→ “Ingestion of spores” is correct over “bacterial
overgrowth” on the USMLE → yes, disruption of normal flora leads to C. diff overgrowth, but ingestion of spores is correct answer
on NBME exam.<br></div>"	
&nbsp;Dx&nbsp;of&nbsp;C.&nbsp;difficile?	<div>&nbsp;stool AB toxin test, <b>not </b>stool culture (exceedingly HY).</div>	
Tx&nbsp;of&nbsp;C.&nbsp;difficile?&nbsp;	"<div>
<div>&nbsp;<span style=""color: rgb(0, 255, 0);""><b>guidelines as of Feb 2018 say oral vancomycin first-line, </b></span><span style=""color: rgb(255, 0, 127);""><b>not metronidazole </b></span>→<br></div>
<div>&nbsp;</div>
<div>apparently UW is updated on this too now
→ note that vanc is given orally → apart from C. diff, it’s always
given IV because it has terrible oral bioavailability, but in the case of C.
diff, where we want the drug confined to the lumen
of the colon, that makes
sense.</div></div>"	
Mechanism&nbsp;of&nbsp;colonic&nbsp;necrosis&nbsp;in&nbsp;C.&nbsp;diff&nbsp;colonic&nbsp;necrosis?&nbsp;→	<div>“cytoskeletal disruption.”</div>	
&nbsp;Patient&nbsp;is&nbsp;treated&nbsp;with&nbsp;vanc&nbsp;for&nbsp;C.&nbsp;diff&nbsp;but&nbsp;gets&nbsp;recurrence&nbsp;weeks&nbsp;later;&nbsp;why?&nbsp;→	<div>&nbsp;“regermination of spores.”</div>	
C. diff + fever of 104F + tachy + diffuse abdominal pain; next best step in Mx? → AXR → look for toxic megacolon → Tx w/ NPO (nothing by mouth), NG decompression + rectal tube (decompression) + Abx (vancomycin or fidaxomicin) + steroids (if UC) + correct any electrolyte imbalances (sometimes low K)	"<div>if
patient doesn’t improve with conservative therapy, must do surgery (subtotal
colectomy + ileostomy); do <b><span style=""color: rgb(255, 0, 127);"">not</span> </b>do a colonoscopy on a patient
with toxic megacolon
as this will cause perforation.<br></div>"	
Damage&nbsp;to&nbsp;which&nbsp;nerves&nbsp;can&nbsp;cause&nbsp;constipation?&nbsp;→&nbsp;	"<div>&nbsp;pelvic splanchnic (because these are parasympathetic,
which drive bowel function) → in contrast, hypogastric nerves = sympathetic (internal
anal sphincter); pudendal
nerve = somatic
(external anal sphincter).<br></div>"	
&nbsp;Hepatocellular&nbsp;carcinoma&nbsp;+&nbsp;peanut&nbsp;farmer&nbsp;from&nbsp;China;&nbsp;cause?&nbsp;→	<div>aflatoxin → you don’t have to like this factoid, but it’s on the NBME.</div>	
&nbsp;Vinyl&nbsp;chloride&nbsp;exposure&nbsp;+&nbsp;liver&nbsp;pathology;&nbsp;what’s&nbsp;the&nbsp;Dx?&nbsp;→	<div>&nbsp;hepatic angiosarcoma.</div>	
&nbsp;17M&nbsp;+&nbsp;fever&nbsp;+&nbsp;tonsillar&nbsp;exudates&nbsp;+&nbsp;cervical&nbsp;lymphadenopathy&nbsp;+&nbsp;cough&nbsp;+&nbsp;hepatomegaly;&nbsp;Dx?&nbsp;→&nbsp;	<div>&nbsp; EBV mononucleosis.<br></div>	
Alcoholic&nbsp;+&nbsp;liver&nbsp;biopsy&nbsp;shows&nbsp;what?&nbsp;→&nbsp;	"<div>&nbsp;Mallory hyaline
→ damaged intermediate filaments.</div>"	
45M&nbsp;+&nbsp;pan-acinar&nbsp;emphysema&nbsp;+&nbsp;increased&nbsp;LFTs;&nbsp;Dx?&nbsp;→	"<div>alpha-1-antitrypsin deficiency → inability to break down elastase in the lungs, but enzyme
is synthesized in liver; also causes cirrhosis.<br></div>"	
45M&nbsp;+&nbsp;cirrhosis&nbsp;+&nbsp;fluid&nbsp;wave&nbsp;+&nbsp;fever&nbsp;+&nbsp;abdo&nbsp;pain;&nbsp;Dx?&nbsp;→	<div>spontaneous bacterial peritonitis (SBP)</div>	
69F diabetic + undergoing peritoneal dialysis + fever + abdo pain; Dx? →	<div>&nbsp;SBP</div>	
8M&nbsp;+&nbsp;viral&nbsp;infection&nbsp;+&nbsp;pedal/periorbital&nbsp;edema&nbsp;+&nbsp;fluid&nbsp;wave&nbsp;+&nbsp;fever&nbsp;+&nbsp;abdo&nbsp;pain;&nbsp;Dx?&nbsp;→	"<div>SBP → minimal change
disease (nephrotic syndrome) causing ascites.</div>"	
&nbsp;SBP Dx&nbsp;→&nbsp;	"<div>paracentesis (peritoneal aspiration; don’t confuse with
periocardiocentesis) + do gram- stain + look for &gt;250 WBCs per HPF.</div>"	
Tx for SBP →&nbsp;	<div>ceftriaxone.</div>	
Cause&nbsp;of&nbsp;spider&nbsp;angiomata,&nbsp;palmar&nbsp;erythema,&nbsp;and&nbsp;gynecomastia?&nbsp;→	"<div>failure of the liver to process
estrogen → answer also = hyperestrogenism.</div>"	
Clubbing&nbsp;causes?	"<div>&nbsp;→ pulmonary disease
like CF and COBD; cardiac
R→L
shunts; <b>GI disease; </b>familial, etc. Bottom line is → just be
aware GI disease can cause clubbing (i.e., IBD, Celiac, primary biliary cirrhosis).</div>"	
Woman&nbsp;20s-50s&nbsp;+&nbsp;high&nbsp;cholesterol&nbsp;+&nbsp;diffuse&nbsp;pruritis&nbsp;+&nbsp;sister&nbsp;has&nbsp;rheumatoid&nbsp;arthritis;&nbsp;Dx?&nbsp;→&nbsp;	"<div>&nbsp;primary biliary cirrhosis
→ USMLE likes “autoimmune diseases
go together” in patient (or family).</div>"	
How to Dx PBC?	<div>&nbsp;→ anti-mitochondrial Abs first; if positive, liver biopsy is confirmatory.</div>	
Neonate born 32 weeks gestation + fever + abdominal distension + feeding intolerance +&nbsp;hematochezia;&nbsp;Dx?&nbsp;→&nbsp;	"<div>necrotizing enterocolitis → bowel infection in premature neonates usually &lt;32
weeks gestation.<br></div>"	
&nbsp;Dx&nbsp;of&nbsp;NE?&nbsp;	"<div>→ abdominal x-ray (AXR) visualizing <b>pneumatosis intestinalis </b>(air in the bowel wall), <b>air in the portal vein,
</b>or free air under the diaphragm.</div>"	
Tx of NE?&nbsp;	"<div>→ NPO (nil per os; nothing by mouth), NG decompression, broad-spectrum Abx; if necrotic
bowel, must do surgery.</div>"	
Above 49M; next best step in Dx?&nbsp;	"<div>&nbsp;“x-ray of chest + abdomen” to look for air under the diaphragm (confirms diagnosis); USMLE will
never give you choice A) CXR; B) AXR, etc.; they’ll either give you CXR alone, AXR alone, or both; one of the 2CK surgery
NBMEs has both as the answer.</div>"	
&nbsp;28F&nbsp;+&nbsp;pregnant&nbsp;+&nbsp;severe,&nbsp;acute&nbsp;abdo&nbsp;pain&nbsp;+&nbsp;jaundice&nbsp;+&nbsp;hepatomegaly&nbsp;+&nbsp;ascites&nbsp;+&nbsp;encephalopathy;&nbsp;Dx?	"<div>→ Budd-Chiari syndrome
→ hepatic vein thrombosis → rare, but associated with pregnancy and malignancy.<br></div>"	
Bad&nbsp;type&nbsp;of&nbsp;colonic&nbsp;polyp/adenoma?&nbsp;	"<div>→ villous + sessile
characteristics are more sinister than tubular +
pedunculated.</div>"	
<div>&nbsp;Colon cancer progression?&nbsp;<br></div>	"<div>→ step-wise → APC → KRAS → PTEN → p53. That is highly simplified, but the point is that USMLE wants you to be aware CRC occurs as a result
of many mutations
in sequence.<br></div>"	
18F&nbsp;+&nbsp;CRC&nbsp;in&nbsp;family&nbsp;+&nbsp;has&nbsp;hundreds&nbsp;or&nbsp;thousands&nbsp;of&nbsp;polyps&nbsp;on&nbsp;colonoscopy;&nbsp;Dx?&nbsp;	<div>→ FAP (familial adenomatous polyposis) → AD, chromosome 5, APC gene.</div>	
FAP&nbsp;+&nbsp;soft&nbsp;tissue&nbsp;or&nbsp;bone&nbsp;tumors;&nbsp;Dx?	<div>&nbsp;→ Gardner syndrome</div>	
FAP&nbsp;+&nbsp;CNS&nbsp;tumors;&nbsp;Dx?	<div>&nbsp;→ Turcot syndrome</div>	
18F&nbsp;+&nbsp;FAP;&nbsp;Tx?&nbsp;	"<div>→ total proctocolectomy (answer on 2CK NBME; sounds overkill right off the bat, but it’s the answer) → 100% chance
of colon cancer.</div>"	
20M&nbsp;+&nbsp;FAP&nbsp;+&nbsp;skull&nbsp;tumor;&nbsp;Dx?&nbsp;	"<div>→ Gardner, not Turcot
→ skull is bone, not CNS. Oh wow, craziness.</div>"	
20M&nbsp;+&nbsp;FHx&nbsp;of&nbsp;CRC&nbsp;+&nbsp;has&nbsp;ten&nbsp;polyps&nbsp;seen&nbsp;on&nbsp;colonoscopy;&nbsp;Dx?&nbsp;→&nbsp;HNPCC&nbsp;(Lynch syndrome),&nbsp;not&nbsp;FAP&nbsp;→	<div>FAP has hundreds or thousands of polyps on colonoscopy; HNPCC has “some polyps.”<br></div>	
Mechanism of HNPCC?	<div>“microsatellite instability,” or “defect in mismatch repair genes” → mutations in MLH1, MSH2, PMS1.</div>	
&nbsp;22F + has 30 polyps on colonoscopy + mom died of endometrial cancer; Dx?	"<div>&nbsp;→ HNPCC → Lynch syndrome
associated with gyn tumors such as ovarian + endometrial, as well as other
organ system tumors such as pancreas,
stomach, and small bowel. Testicular + prostate very rare, but gyn common.<br></div>"	
26F + they show you pic of spoon-shaped nail + tell you her lips have been cracked + they ask you&nbsp;what&nbsp;other&nbsp;symptom&nbsp;she&nbsp;might&nbsp;have;	"<div>&nbsp;dysphagia. Dx = <b>Plummer-Vinson syndrome
</b>→ triad of iron deficiency anemia (causes
koilonychia; spoon-shaped nails) + angular cheilosis (cracked corners
of mouth) + esophageal webs (dysphagia).<br></div>"	
USMLE wants the arrow combination (up, down, unchanged) for LES tone and peristalsis in CREST&nbsp;syndrome;	↓ LES tone and ↓ peristalsis	
What does CREST stand for?&nbsp;	"<div>→ Calcinosis, Raynaud
phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias</div>"	
42M&nbsp;+&nbsp;dysphagia&nbsp;to&nbsp;solids&nbsp;+&nbsp;liquids&nbsp;+&nbsp;no&nbsp;other&nbsp;Hx;&nbsp;Dx?	"<div>→ achalasia → inability to swallow solids
+ liquids together
implies neurogenic etiology.</div>"	
42M&nbsp;+&nbsp;EtOH&nbsp;Hx&nbsp;+&nbsp;dysphagia&nbsp;to&nbsp;solids&nbsp;that&nbsp;progresses&nbsp;to&nbsp;include&nbsp;liquids;&nbsp;Dx?	<div>&nbsp;→ esophageal cancer (SCC) → dysphagia to solids <b>that progresses to </b>solids + liquids = cancer until proven otherwise.</div>	
&nbsp;HY points about esophageal cancer?	"<div>&nbsp;→ adenocarcinoma is distal 1/3 and is caused by GERD (obesity)→ low LES tone → GERD → Barrett → adenocarcinoma); SCC is upper
2/3 of esophagus and is caused by smoking + alcohol; can also be caused
by webs, burns, chemicals, and achalasia (difficult, because achalasia
is LES so your thought
is, “how can that cause
SCC of upper 2/3?” → probably the dysphagia</div>
<div>causes increased esophageal irritation, which then becomes the risk factor for SCC).</div>"	
&nbsp;Mechanism&nbsp;for&nbsp;achalasia?	"<div>&nbsp;→ loss of NO-secreting neurons
in myenteric plexus
of LES → increased LES tone
→ bird’s beak appearance on contrast swallow + increased tone
on esophageal manometry; cause is often idiopathic, but Chagas disease
(Trypansoma cruzi) is a known infective cause (rare).</div>"	
How&nbsp;do&nbsp;you&nbsp;Dx&nbsp;achalasia?&nbsp;	"<div>→ <b>USMLE wants barium
(or gastrografin) swallow,
then manometry, then confirmatory
biopsy, in that order. </b>There is a Q on an NBME for 2CK where both barium and manometry
were listed, and the answer
was barium swallow,
not manometry.</div>"	
&nbsp;So&nbsp;when&nbsp;is&nbsp;manometry&nbsp;the&nbsp;answer&nbsp;for&nbsp;achalasia?&nbsp;	"<div>→ when they show you a pic of the bird’s beak from the barium swallow already performed, so
clearly the next best step is manometry. The USMLE will sometimes show a graph of a manometry that’s been performed, and
you’ll simply see that the pressure
is high at the LES → hence Dx = achalasia. The confirmatory / most accurate
test is biopsy of LES showing
loss of neurons.</div>"	
Tx for achalasia&nbsp;	"<div>→ surgery first-line (endoscopic myotomy is superior to
pneumatic dilatation); if patient has high surgical
risk, can use botulinum toxin
as first-line therapy
→ if fails, dCCB or nitrates.</div>"	
&nbsp;42M&nbsp;+&nbsp;overweight&nbsp;+&nbsp;halitosis&nbsp;+&nbsp;gurgling&nbsp;sound&nbsp;when&nbsp;drinking&nbsp;fluids&nbsp;+&nbsp;occasionally&nbsp;regurgitates&nbsp;undigested&nbsp;food;&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Mx?	<div>→ barium (or gastrografin) swallow; Dx = Zenker.</div>	
Above&nbsp;42M&nbsp;+&nbsp;Hx&nbsp;of&nbsp;GERD&nbsp;	"<div>→ go straight to endoscopy as the answer
(cancer, not Zenker).</div>"	
&nbsp;&nbsp;Location + mechanism of Zenker?	"<div>&nbsp;→ false diverticulum just superior to the
cricopharyngeus on the posterior
pharyngeal wall → USMLE answers are “increased oropharyngeal pressure”
and “cricopharyngeal muscle spasm.”
They want you to know it is <b>not </b>a
congenital weakness. Dysphagia is a
risk factor because this increases oropharyngeal pressure. I’ve noticed Zenker
vignettes often mention the patient is overweight, although
the association is non-specific.</div>"	
What is Whipple triad?&nbsp;	"<div>→ means insulinoma →<br>&nbsp;1) hypoglycemia,<br>&nbsp;2) Sx of hypoglycemia (diaphoresis, tachycardia, tremulousness),<br>&nbsp;3) relief of Sx with meals (or they’ll say it gets worse between
meals).</div>"	
If&nbsp;patient&nbsp;has&nbsp;Whipple&nbsp;triad,&nbsp;what’s&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Mx?&nbsp;	"<div>
<div>→ check serum
C-peptide levels → now this is where I get you a point: if C-peptide
is high, the wrong answer is CT abdo to look for insulinoma because <b>t<span style=""color: rgb(255, 0, 127);"">he Dx is not automatically <u>insulinoma</u></span>. </b>Now
you’re probably like, “Really? Wait, why? I’m
not following.” → if C-peptide high, answer = <b>first check serum hypoglycemic levels </b>→ meaning, some patients
can surreptitiously take sulfonylureas (i.e., glyburide, etc.),
which are insulin<br></div>
</div>
<br>

<div>secretagogues,
<b>so they’re C-peptide levels will be
high. </b>Only after the serum hypoglycemic screen is negative do you consider CT abdo.</div>"	
32M&nbsp;+&nbsp;high&nbsp;glucose&nbsp;levels&nbsp;+&nbsp;body&nbsp;rash;&nbsp;Dx?&nbsp;	<div>→ glucagonoma → rash is called necrolytic migratory erythema and is seen in glucagonoma.</div>	
